Tipo de Validação,Faixa,Volume Inicial,Volume Final,Preço Unitário (R$)
Cadastral Simples,10,4000000,Ilimitado,"R$ 0,39"

Tipo de Validação,Faixa,Volume Inicial,Volume Final,Preço Unitário (R$)
Validação Completa,1,1,999,"R$ 3,50"
Validação Completa,2,1000,9999,"R$ 3,33"
Validação Completa,3,10000,49999,"R$ 3,20"
Validação Completa,4,50000,99999,"R$ 3,08"
Validação Completa,5,100000,299999,"R$ 2,99"
Validação Completa,6,300000,499999,"R$ 2,93"
Validação Completa,7,500000,999999,"R$ 2,87"
Validação Completa,8,1000000,2499999,"R$ 2,82"
Validação Completa,9,2500000,3999999,"R$ 2,76"
Validação Completa,10,4000000,Ilimitado,"R$ 2,71"

Observações:
- Modelo de Cobrança: ESCALONADO/PROGRESSIVO
- Unidade de Medida: Por validação
- Contrato: 261070
- Vigência: 06/12/2025 a 06/12/2030
- Inclui: Carimbo de Tempo
- Todas as ofertas de negócio do Datavalid estão incluídas no contrato
